stars,body
"1,0",Ürün orjinal değil ve satıcıya ulaşmama rağmen iade talebini kabul etmeyip kutu açılmış orjinal olmayan ürünü iade alamayız dediler.
"5,0",Amazon satıcısı ve göndericisi.Orijinal ürünHızlı teslimat en uygun fiyatTeşekkürlerSatıcının Amazon oldugu ürünlerin orjinal olmama gibi bir durumu söz konusu değil.
"5,0",Amazon’un kendi sattığı ürün orijinal sorunsuz gönül rahatlığıyla alınabilir
"4,0",Piyasada fazlaca sahtesi olmasından dolayı ürünü amazondan almak mantıklı geldi. Fakat 5/6 TL lik zarar görmeyecek ürünleri dahi sarıp sarmalayarak kutuda gönderen Amazon 180 küsur liralık şarj aletini zarfa koyup göndermiş. Bu yüzden tek yıldızı kırptım
"5,0",Ürünü amazon satıcısından aldım şarj cihazı orijinalAmazona ve çalışanlarına ayrıca teşekkür ediyorumGönlünüz rahat olsun orjinaldir…
"5,0",Ürün orijinal Apple ürünü.fiyatıda düşünüldüğünde gönül rahatlığı ile alabilirsiniz..
"5,0","Amazon tarafından satılır ve gönderilir olarak görülen tüm ürünler kesinlikle orjinaldir. Bunu bilerek alışveriş yapabilirsiniz.Ürün standart Apple 20w şarj cihazı, piyasadan çok daha ucuza çok hızlı bir şekilde satın aldık. Hızlı şarj ediyor eski 5w şarja göre çok daha iyi. Amazona teşekkürler."
"5,0",Amazon'un kendi satışından aldım. Orijinal ürün.
"5,0",Ben orijinal olup olmadığı konusunda çekinceliydim. Direkt olarak seri no sorguladım fakat çıkmadı. Batarya ve kılıflar seri no sorgulamasında çıkmayabiliyormuş. Panik yapmayın. Kutu ve cihaz üzerindeki seri no tutuyor ve internetten araştırıp belli başlı kritik noktalara baktığımda orijinal olduğunu anladım. Benim gibi pimpirikli olan varsa yardımcı olur diye yazıyorum.
"1,0",Lütfen orjinal olmayan ürün satmayın. Orjinal diyerek güvenip aldım lakin qr geçersiz sayfaya ait. Başkaları mağdur olmasın diye yazıyorum
"1,0",Ürün orjinal değil ve satıcıya ulaşmama rağmen iade talebini kabul etmeyip kutu açılmış orjinal olmayan ürünü iade alamayız dediler.
"5,0",Amazon satıcısı ve göndericisi.Orijinal ürünHızlı teslimat en uygun fiyatTeşekkürlerSatıcının Amazon oldugu ürünlerin orjinal olmama gibi bir durumu söz konusu değil.
"5,0",Amazon’un kendi sattığı ürün orijinal sorunsuz gönül rahatlığıyla alınabilir
"4,0",Piyasada fazlaca sahtesi olmasından dolayı ürünü amazondan almak mantıklı geldi. Fakat 5/6 TL lik zarar görmeyecek ürünleri dahi sarıp sarmalayarak kutuda gönderen Amazon 180 küsur liralık şarj aletini zarfa koyup göndermiş. Bu yüzden tek yıldızı kırptım
"5,0",Ürünü amazon satıcısından aldım şarj cihazı orijinalAmazona ve çalışanlarına ayrıca teşekkür ediyorumGönlünüz rahat olsun orjinaldir…
"5,0",Ürün orijinal Apple ürünü.fiyatıda düşünüldüğünde gönül rahatlığı ile alabilirsiniz..
