stars,body
"1,0",ürün orjinal değil satıcıya ulaşmama rağmen iade talebini kabul etmeyip kutu açılmış orjinal olmayan ürünü iade alamayız dediler
"5,0",amazon satıcısı göndericisiorijinal ürünhızlı teslimat uygun fiyatteşekkürlersatıcının amazon oldugu ürünlerin orjinal olmama bir durumu söz konusu değil
"5,0",amazon’un kendi sattığı ürün orijinal sorunsuz gönül rahatlığıyla alınabilir
"4,0",piyasada fazlaca sahtesi olmasından dolayı ürünü amazondan almak mantıklı geldi fakat 5/6 tl lik zarar görmeyecek ürünleri dahi sarıp sarmalayarak kutuda gönderen amazon 180 küsur liralık şarj aletini zarfa koyup göndermiş bu yüzden tek yıldızı kırptım
"5,0",ürünü amazon satıcısından aldım şarj cihazı orijinalamazona çalışanlarına ayrıca teşekkür ediyorumgönlünüz rahat olsun orjinaldir…
"5,0",ürün orijinal apple ürünüfiyatıda düşünüldüğünde gönül rahatlığı alabilirsiniz
"5,0",amazon tarafından satılır gönderilir olarak görülen ürünler kesinlikle orjinaldir bunu bilerek alışveriş yapabilirsinizürün standart apple 20w şarj cihazı piyasadan ucuza hızlı bir şekilde satın aldık hızlı şarj ediyor eski 5w şarja göre iyi amazona teşekkürler
"5,0",amazonun kendi satışından aldım orijinal ürün
"5,0",ben orijinal olup olmadığı konusunda çekinceliydim direkt olarak seri no sorguladım fakat çıkmadı batarya kılıflar seri no sorgulamasında çıkmayabiliyormuş panik yapmayın kutu cihaz üzerindeki seri no tutuyor internetten araştırıp belli başlı kritik noktalara baktığımda orijinal olduğunu anladım benim pimpirikli olan varsa yardımcı olur yazıyorum
"1,0",lütfen orjinal olmayan ürün satmayın orjinal diyerek güvenip aldım lakin qr geçersiz sayfaya ait başkaları mağdur olmasın yazıyorum
"4,0",paketleme özenli olabilirdicihazın seri numarası kutunun seri numarası tutuyorürün orijinale benziyor fakat kutudaki qr kod okunmuyor telefon tarafındanaynı zamanda 13 pro max cihazını %20 > %60 30 dk %20 > %100 1 saat 50 dk
"5,0",aynı fiyata hepsiburadada başka bir satıcıdan aldım ürün sahte geldi iade ettim sonrasında amazonda aynı fiyata amazon tarafından satıldığını görünce direkt aldım size tavsiyem bilmediğiniz satıcıdan almayın arayıp sorduğunuzda orjinal diyorlar inanmayın hatta gidin 50 lira fazla verin appleın kendisinden alın şüpheniz kalmaz he olurda başka yerden aldıysanız şüphe ediyorsanız orjinalliğini anlamanın püf noktaları şunlar;1- kutudani seri numarası adaptör üstündeki aynı olmalı2- adaptörün üstündeki yağlı kağıt benzeri jelatinde apple ibaresi yer almalı3- garanti belgesinde türkçe 15 sayfa olmalı
"5,0",piyasa göre hayli uygundu satıcı amazon olduğu orijinal olduğuna güvenerek aldım üzerindeki qr çalışmıyor sahte vs yazanlar olmuş apple’a sordum meraktan seri no qr’dan sorgulama yapılmıyormuş ürünler zaten ambalajı gayet kaliteli orjinallik bandı/koruma bandı vs var üzerinde özetle iyi bir alışveriş oldu
"5,0",defalarca başka firmalardan aldığım kopya olduğunu anlayıp iade ettiğim adaptörü amazon güvenilirliğiyle aldım sefer iade yok kesinlikle orijinal teşekkürler amazon
"5,0",ürünü akşam aldım öğleden önce elime ulaştı ürünün orijinalliği hakkında araştırma yaptım karşılaştırdım kesinlikle orijinal satıcı olarak amazon tercih edilmeli kargo konusunda direkt pakete konup yollandığı söyleniyor bana şekilde geldi amazonun çalıştığı kargo zaten öteki firmalar üst üste yığınların olduğu bir kargo firması değil ezilme bir sorunu önce yaşamadım
"1,0",ürün  orijinal değil normal adaptörlerden bile uzun sürede şarj ediyor
"5,0",saatlerce şarj başında bekleme devri bitti hızlı şarjorjinal ürün
"5,0",ürünü alırken bir kişi yorumda orjinal değil yazdı fiyatı apple’ın kendi sitesinden ucuz şüphelenmiştim paketteki adaptördeki seri numaraları uyduğunu görünce rahatladımürün orjinal primela hızlı düzgün teslim edildi 22 mart’ta satın aldım rahatça alabilirsiniz
"1,0",amazon satıyor güvenilir aldım arızalı çıktı iade ettim değişim istedim geldi yeni ürün oda bozuk çıktı orjinal satıcı amazon kime güvenip alacağız anlamadım ikincisi bir kaç gün çalıştı sonra bozuldu sağlam kutusunu attım öyle iade gönderdik parası iade olur onu bilmiyorum yazık günah paranıza yazık etmeyin almayın
"5,0",orjinal ürünü piyasanın altında bir fiyata üstelik kısa bir sürede almak ancak amazon kalitesiyle mümkün olurdu teşekkürler
"5,0",ailecek aldık memnunuz %100 orijinal ürün
"5,0",amazon satıcısından aldığım ürünü orijinale ait özellikler doğrultusunda incelediğimde bir problem olmadığını gördüm aktif olarak kullanmaktayım 5w adaptörden sonra 20w adaptör günlük kullanımdaki konforu arttırmakta kısa zaman aralıklarında yüksek verim almayı sağlamakta kablo olarak bende belkinin pd destekli type-cden lightninge kablosu vardı onu kullanmayı tercih ettim vaadedildiği şekilde %80in altında 30 dakikada %50 şarj edebilmekte
"5,0",ürün orjinal kargo lama yine efsane teşekkür tavsiye ederimapple ın harika gölü ekstradan gidip şarj aleti almak tamamen beyin kurgusu yazık bizimle oynadıklarını düşünüyorlar bırakın eğlensinler 🤘🏾
"5,0",iphone 12 cihazım sabah aldım akşam ev adresime teslim edilditereddüt etmeden amazon satıcısından ürünü alabilirsinizdiğer bilinen bir siteden aldığım ürün orjinal değildi iade etmiştimtüm detaylarına baktım zaten ambalajından bile orjinal ürün olduğu belli oluyorteşekkürler
"5,0",orijinal değil diyenlere aldanmayınben apple‘ı aradım şarj adaptörleri sorgulanmıyor apple müşteri hizmetlerini söylediği şeyler cihazın üstünde yazıyordu orjinal olduğunu karşılıklı teyid ettik her şeyi geçtim ilk çıktığı günden yana apple kullanıyorum baktığın zamanda eline aldığın zaman orijinal olduğunu zaten anlarsın düşünmeden alın
"5,0",amazoncomtr satıcısından 2 tane aldım ürünler orjinalbir arkadaş yorumlarda kargo paketinden bahsetmiş hak verdim dediği korunaksız kargo şirketide başarılı bir sorunu yoktu
"5,0",çok fazla sahtesi satılan şarj cihazı günün ekonomik şartlarında cihazlarınızı kesinlikle sahte ürünler riske atmayın apple amazon satıcı haricinde başka biryerden satın almayınız
"5,0",satıcı amazoncomtr dikkat edinürün orijinal garanti tam olarak oluyor bilmiyorum aldığım vakitlerde appleın kendi sitesinden %25 ucuzdu
"5,0",orijinal apple ürünü alırken tereddüt etmiştim ancak inciğine cıncıgına kadar inceledim amazon işte 1 numara başkasını tanımam gerçekten 1 günde elime ulaştı
"5,0",amazona teşekkür ediyorum ürünümü düzgün paketliyolar süper hızlı gönderiyorlar ürün hakkında konuşmak gerekirse ürünü amazon satıcısından aldım ürün orjinal aklınızda şüphe kalmasın
"1,0",ürün gayet güzel orijinale benziyor ürünle birlikte faturam gönderilmedi
"5,0",yeni aldığım iphone aldım satıcı amazon olarak satın aldım ürün orijinal kutudaki seri kod üründeki bire bir aynı hızlı gönderim teşekkürler
"4,0",mecbur olduğum aldım şuanda fiyatlar yüksek 150bantlarında satılıyordu normalde takip ederek almanızda fayda var
"5,0",satıcısı amazon olan ürünü korkmadan alabilirsiniz ürün sıfır orjinaldi
"5,0",hızlı gönderi orijinal ürün rakipsiz fiyatlar
"5,0",her ayrıntısına kadar inceledim orjinal çıktıhiç tereddüt etmeden alınabilir amazon zaman yanıltmadı beni uygun fiyat güvenilir firma
"5,0",ürünü sabah 11 sipariş verdim ertesi gün aynı saatte elime ulaştı amazon satıcısından aldım sizde buradan alın derim diğer satıcılar orjinallik konusund terettüt yaratıyor fiyatı uygun olduğu orjinal mi terettüt ettim ürün kesinlikle orjinal kutu üzerindeki ürün üzerindeki seri no aynı
"5,0",appleın orijinal şarj adaptörü burada uygun bir fiyata satıldığından alınabilir birden fazla apple cihazınız varsa
"5,0",i̇ndirimdeyken yakaladım 150 tl uygun fiyata aldım ürün orjinal apple hızlı şarj ediyor konuda içiniz rahat olsun
"5,0",apple gelen adaptörün bozulması yüzünden yeni bir adaptör aldım adaptör 12 saatte hasarsız bir şekilde elime ulaştı teşekkürler amazon
"2,0",ürün orjinal ürüne lafım yok aras kargoyla gönderiyolar sözde prime üyesiyiz ertesi gün teslimat var 5 gün sonra kargo şube müdürüyle telefonla kavga ettikten sonra teslim alabildim aras kargo hizmetini göz önünde bulundurarak sipariş edin  teslimattan dolayı 3 puanı kırdım
"5,0",satıcı amazon olduğu gönül rahatlığıyla 2 adet aldım piyasa fiyatından uyguna aldım teşekkürler amazon  orijinal ürün paketleme olarak iyi paketlenebilirmiş gelen paketin dışında herhangi bir hasar yoktu adaptörlerimde aynı şekilde hasarsız elime ulaştı
"5,0",bugüne kadar appleın 5w şarj adaptörünü kullanıyordum 20w hızlı şarj oluyor almışken orijinalini alın düzgün kullandığınız sürece dört sene kullanırsınız amazona hızlı teslimat orijinal ürün sağladığı teşekkür ediyorum
"5,0",satıcısı amazon ürün orijinaldir rahatlıkla alabilirsiniz
"5,0",ürün orijinal amazondan aldım çok memnunum indirim döneminde uygun fiyata geldi
"5,0",amazon gönderici satıcıdan aldımgayet temiz bir hızlı bir şekilde geldi teşekkür ederimappleı böyle saçma bir iş yaptığı içinde tebrik ederim
"5,0",amazon un kalitesinden taviz yok iyiki aldım prime kargı hızı müthiş ürün orijinal paketleme hassas calisanindan pakeylemecisine kargosuna teşekkürler
"1,0",buzdolabı poşetini bile büyük kutuya koyup etrafına kağıt koyan firmanın böyle pahali bir ürünü zarfın icinde hic bir destek olmadan kargolaması hoş değilşarj aletinin kutusunda hasar vardı ancak çalışır durumda
"5,0",bazı yorumlarda ürün orijinal mi değil mi tartışmalar olmuş ürün orijinal amazoncomtrnin sattığı gönderdiği ürün tahmini kargo süresi 2 gün demesine rağmen 1 gün içerisinde geldi teşekkürler amazon türkiye <3
"5,0",satıcı amazon gözünüz kapalı güven duyabilirsiniz apple söze gerek yok sanırım
"5,0",ürün hızlı elime ulaştı amazonun kendisinden aldım seri kodu apple sistemde cıkmıyor adaptörlerde olabiliyormuş seri kodu kutu adaptör aynı ürün orijinal düşünüyorum
"5,0",kali̇tesi̇nden söz etmeye gerek ori̇ji̇nal apple ürünü olduğu i̇çi̇ngayet gönül rahatliğiyla alip kullanilacak üründüramazonun kendi̇ satişindan 22877tl ye satin aldim teşekkürler amazon türki̇ye
"5,0",amazon güvenilir e-ticaret sitesidir net satıcı amazon olan ürünleri gönül rahatlığı alabilirsiniz ürün orjinal gönül rahatlığı alabilirsiniz kargo hızlı teslimat olmamasona rağmen hızlı geldi iyiki varsın amazon
"1,0",apple üzerinden ürünün seri numarasından kontrol ettiğimizde herhangi bir bilgiye ulaşılamıyor
"5,0",satıcısı amazon tereddüt etmeden satın alınabilir orijinal ürün teşekkürler amazon türkiye
"4,0",yeni telefon alıyorsanız mecbur adaptör alıyorsunuz malum apple artık adaptör vermiyor
"5,0",satıcı amazoncomtr iken kafanız rahat olsun apple türkiye garantili harika bir ürün
"5,0",kutudaki seri numarası cihazın şeffaf bandının seri numarası birebir aynı yüzde yüz orjinal gönül rahatlığıyla alabilirsiniz kolay gelsin kargo firması bir harika gece sipariş verdim ürünler öğlen elimdeydi 👏👏
"5,0",orijinal ürün tereddüte gerek yok tavsiye ederim apple adaptör hızlı şarj amazon hızlı gönderi teşekkürler
"5,0",orjinal apple pil güvenli hızda hızlı şarj sağlıyor teşekkürler
"5,0",şarj aleti orijinalsatıcı amazon tr
"5,0",satın aldığım ürün apple marka gayet başarılıgerçek anlamda güvenli alışverişin adresi; “amazoncomtr” teşekkür ederim
"3,0",ürün orijinal fakat kargolama özeni az elektronik ürünü zarf gönderiyorsunuz özen gösterlimeli aynı gün teslimat prime üyelik alıyoruz fakat aynı gün gelmiyor ertesi güne sarkıyor
"5,0",spigen 27 w ürün arasında kalmıştım almışken apple alayım dedim gayet hızlı bir şekilde şarj ediyor ürün satıcısı amazoncomtr idi orjinal bir şekilde geldi güvenle alış veriş yapabilirsiniz
"5,0",bir sorun görmedim herhalde orjinaldir
"5,0",satici amazon urun orjinal gonul rahatli alabilirsinizkargo cok hizli paketleme gayet iyiydi hasar gormeden teslim aldimorjinal apple kutusuna gelditavsiye ederim
"5,0",hızlı şarj önemli amazon a uygun fiyat orijinal ürün teşekkürler
"5,0",yorumlarda orjinal olmadığından bahseden arkadaşları görünce biraz tereddüt ettim satıcının amazon olduğunu görünce bütün soru işaretleri silindi gönül rahatlığıyla sipariş edebilirsiniz
"5,0",güzel ürün paketleme harika ücretsiz 6 taksite kadar ödeme şekli
"5,0",orijinal ürün amazoncomtr satıcıydı memnunum
"5,0",ürün orjinal gönül rahatlığı alın gönderi hızlı teşekkürler amazon
"2,0",orjinalliği konusunda emin değilim seri numarası sorguladım applede çıkmadı satıcıyla iletişime geçemedim
"4,0",hizli kargo sarj cihazinin kutusundaki guvenlik bandi yirtikti orjinal duruyor satici amazon oldugu icin guvenip simdilik iade etmeyecegin fiyat uygun
"5,0",kaliteli orjinal
"5,0",ertesi gün teslim edildi tek sıkıntı kutuda gönderilmesi uygun olan ürünün zarfta gönderilmesi orijinal ürünü uygun fiyatla ulaştırmanız iyi teşekkürler
"5,0",özenle paketlenmiş hızlı kargo teslimat uygun fiyat daha olsun
"5,0",ürün kutu üzerindeki seri no adaptör üzerindeki seri no aynı ürün orjinal 2 adet koruma jelatini var kutu içerisinde adaptör gövdesinde adaptör uc kısmında
"5,0",ürün orijinal kutusunda söz verilen tarihte gelditeşekkürler amazon
"5,0",marka ürün başka oluyor
"5,0",pazar günü sabahtan sipariş ettiğim ürün pazartesi akşamı elime geçti emeği geçen herkese teşekkür ediyorum ürünü aldığım memnun oldum
"5,0",öncelikle amazoncomtr tarafından gönderildiğine emin olun kesinlikle orjinal içindeki seri no kutudaki seri no birebir kaliteden anlaşılıyor teşekkürler amazon
"5,0",sorunsuz
"5,0",bir günde elimde ulaştı orijinal olduğu icin güvenerek aldım teşekkürler amazon
"5,0",daha öncesinde troy mağazasından alışveriş yapmıştım paketlemesi yine özenliydi şaşırtmadı kalitesi beni teşekkür ederim memnun oldum
"5,0",amazon satıcısından aldım ürün orijinal kargo paketleme iyi
"5,0",kutu içerigi kalitesi iyi fakat ürünün seri sorgulaması vs yapılamıyor hatta ben becerememişimdir apple destege sordum orjinal olmadıgını belirtti
"5,0",simdiye kadar 5w kaybettiğim zamana acıyorum
"5,0",amazon tarafından gönderildi orijinal ürün farklı satıcılardan almanızı tavsiye etmem çünkü piyasada fazla yan sanayi ürün bulunmakta
"5,0",akşam sipariş ettim sabah geldi ürün orijinal fiyat uygun teşekkürler
"5,0",amazon’un satıcı olduğu tereddüt etmeden aldım ürün orijinal güzel paketlenmiştirkargo hızlı ertesi gün elime ulaştıteşekkürler amazon
"5,0",apple diğer teknolojik market fiyatlarına göre oldukça uygun bir fiyat imkanı sunuyor hızlı teslimatta cabası gerçekten gülümsetiyor
"4,0",kargo beklenen süreden 2 gün önce geldi baya hızlıydı i̇lk kullanım 30 dk yaklaşık %25 şarj etti daha hızlı şarj olmasını beklerdim
"5,0",satıcısı amazon olan ürün orijinal
"5,0",sipariş verdiğim günün ertesi gün ürün elime ulaştı ürün amazon tarafından satılan orijinal apple ürünü rahatlıkla alışveriş yapabilirsiniz
"5,0",orijinal üründe olması gereken küçük ayrıntılar var
"5,0",306 tl aldim 248’e dustu bazen erken almamak gerekiyor
"5,0",kutu üzerindeki cihaz üzerindeki seri numaraları tutuyor ürün tamamen orjinal tavsiye ederim satıcıya teşekkür ediyorum…
"5,0",kullanıyorum an bir sıkıntı yok orijinal ürün hızlı şarj ediyor
"5,0",ürün orijinal hizlı dolduruyor kesinlikle değer apple boykot edip almamıştım onun ayıbı olsun diğer mağazalarda cok pahali
"5,0",amazon’da fiyatı aşırı iyi orjinal
"5,0",hızlı teslimat iyi fiyat orjinal ürün
"5,0",birebir aynı ürün hızlı teslimat buradan almayı tercih ettik
"5,0",orijinal bir ürün hızlı kargo güler yüzlü teslimat gerçekten kaliteli bir ürün
"5,0",kesinlikle orjinal çok memnunum teşekkürler
"5,0",hediye kitap teşekkürler harikasınız
"5,0",alınması gereken bir ürün
"5,0",ürüne çakma yazan arkadaşların doğru söylediğini düşünmüyorum amazon üzerinden aldım ürün orjinal
"5,0",orijinal apple ürünü belirtildiği şekilde hızlı şarj ediyor
"5,0",satici amazon gozunuz kapali alabilirsiniz  orjinal urun hizli gonderi
"5,0",ürün kesinlikle orijinal gönül rahatlığı alabilirsiniz kargo hızlı paketlemede güzeldi teşekkürler amazon
"5,0",gözünüz kapalı alabilirsiniz
"5,0",amazon kalitesi orjinalin ürün ödemeyi dün yaptım provizyondan düşmedi şimdi kullanıyorum  teşekkür ederim
"5,0",mutlaka alınması gereken bir aksesuar 40 dakika 80% şarj harika
"5,0",hızlı geldi orjinal ürün satıcı amazon olmasına dikkat edin klasik adaptörden sonra bildiginiz rahatlık
"5,0",kesinlikle orjinal indirimde aldım
"5,0",orijinal ürün gönül rahatlığıyla alabilirsiniz
"5,0",tavsiye ederim kaliteli
"5,0",ürün apple garantili 60 tl ucuz üstelik 12 taksit amazon ürünler orjinal tereddüt etmeden alın
"5,0",ürün anlatıldığı gibiydi özenle paketlenmiş hızlı kargo teşekkürler amazon
"5,0",amazon garantisi hızlı kargo orjinal ürün
"5,0",zamana kadar almamisim tam bir kurtarici orjinal urun
"5,0",urun orijinal ben indirimdeyken aldim paketleme cok iyiydi 1 gunde elime ulasti tesekkurler amazon
"5,0",hizli ve güveni̇li̇r ürünorji̇nal kargo hizli mükemmel
"5,0",sarj cihazi orjinalalirken satici amazon olmasina dikkat edin
